nodes,0_time_exhaustive,0_iter_exhaustive,0_num_elementos_exhaustive,0_time_exhaustive_faster,0_iter_exhaustive_faster,0_num_elementos_exhaustive_faster,0_time_gridy,0_iter_gridy,0_num_elementos_gridy,0_time_recursive,0_iter_recursive,0_num_elementos_recursive,0_calls_recursive,0.125_time_exhaustive,0.125_iter_exhaustive,0.125_num_elementos_exhaustive,0.125_time_exhaustive_faster,0.125_iter_exhaustive_faster,0.125_num_elementos_exhaustive_faster,0.125_time_gridy,0.125_iter_gridy,0.125_num_elementos_gridy,0.125_time_recursive,0.125_iter_recursive,0.125_num_elementos_recursive,0.125_calls_recursive,0.25_time_exhaustive,0.25_iter_exhaustive,0.25_num_elementos_exhaustive,0.25_time_exhaustive_faster,0.25_iter_exhaustive_faster,0.25_num_elementos_exhaustive_faster,0.25_time_gridy,0.25_iter_gridy,0.25_num_elementos_gridy,0.25_time_recursive,0.25_iter_recursive,0.25_num_elementos_recursive,0.25_calls_recursive,0.5_time_exhaustive,0.5_iter_exhaustive,0.5_num_elementos_exhaustive,0.5_time_exhaustive_faster,0.5_iter_exhaustive_faster,0.5_num_elementos_exhaustive_faster,0.5_time_gridy,0.5_iter_gridy,0.5_num_elementos_gridy,0.5_time_recursive,0.5_iter_recursive,0.5_num_elementos_recursive,0.5_calls_recursive,0.75_time_exhaustive,0.75_iter_exhaustive,0.75_num_elementos_exhaustive,0.75_time_exhaustive_faster,0.75_iter_exhaustive_faster,0.75_num_elementos_exhaustive_faster,0.75_time_gridy,0.75_iter_gridy,0.75_num_elementos_gridy,0.75_time_recursive,0.75_iter_recursive,0.75_num_elementos_recursive,0.75_calls_recursive,1_time_exhaustive,1_iter_exhaustive,1_num_elementos_exhaustive,1_time_exhaustive_faster,1_iter_exhaustive_faster,1_num_elementos_exhaustive_faster,1_time_gridy,1_iter_gridy,1_num_elementos_gridy,1_time_recursive,1_iter_recursive,1_num_elementos_recursive,1_calls_recursive
4,4.6499999996285624e-05,24,4,2.250000000003638e-05,6,4,2.729999999928623e-05,10,4,9.410000001253138e-05,0,4,14,3.2000000004472895e-05,22,3,1.9600000001673834e-05,8,3,2.4099999990312426e-05,10,3,0.00010199999999827014,2,3,10,3.5900000000310683e-05,20,3,2.4400000000923683e-05,13,3,2.509999998778767e-05,9,3,8.170000000973232e-05,4,3,10,3.039999998577514e-05,12,2,2.740000002177112e-05,10,2,2.510000001620938e-05,8,2,6.089999999403517e-05,4,2,6,3.060000000232321e-05,11,2,2.829999999676147e-05,10,2,2.4800000005598122e-05,7,2,6.849999999758438e-05,5,2,6,3.5999999994373866e-05,11,1,3.220000002102097e-05,11,1,2.6200000007747803e-05,7,1,7.569999999645916e-05,6,1,6
5,6.400000000894579e-05,80,5,2.200000000129876e-05,10,5,3.0100000003585592e-05,15,5,0.00018059999999309184,0,5,30,5.4899999980762004e-05,64,4,3.000000000952241e-05,26,4,3.139999998325038e-05,14,4,0.0001309999999818956,4,4,18,6.139999999277279e-05,58,3,3.970000000208529e-05,36,3,3.2000000004472895e-05,13,3,0.00015249999998445674,10,3,18,4.819999998062485e-05,31,2,4.1699999997035775e-05,25,2,3.0299999991711957e-05,10,2,0.0001015999999935957,7,2,10,4.930000000058499e-05,27,2,4.850000001965782e-05,23,2,3.7700000007134804e-05,9,2,0.0001015999999935957,9,2,8,5.210000000488435e-05,26,1,5.029999999806023e-05,26,1,3.280000001382177e-05,9,1,0.00010439999999789507,10,1,8
6,0.0001297000000022308,240,6,2.689999999461179e-05,15,6,3.700000002027082e-05,21,6,0.0003500999999914711,0,6,62,0.00010319999998387175,170,4,4.450000000133514e-05,57,4,3.6399999999048305e-05,19,4,0.0002197999999964395,8,4,30,0.00010090000000673172,150,4,5.210000000488435e-05,71,4,3.739999999652355e-05,19,4,0.0002058000000033644,10,4,26,7.889999997701125e-05,72,3,5.740000000287182e-05,40,3,3.839999999399879e-05,13,3,0.00014659999999366846,10,3,14,8.160000001566914e-05,60,2,7.61000000011336e-05,52,2,4.229999998983658e-05,11,2,0.00014430000001652843,14,2,10,8.139999999912106e-05,57,1,8.420000000342043e-05,57,1,4.200000000764703e-05,11,1,0.0001477000000136286,15,1,10
7,0.00030010000000402215,672,7,2.8600000007372728e-05,21,7,4.0900000016108606e-05,28,7,0.0006956000000002405,0,7,126,0.0002051999999821419,406,4,9.579999999687061e-05,177,4,6.829999998103631e-05,22,4,0.0004792999999949643,12,4,46,0.0002255999999931646,358,4,0.00010969999999588254,182,4,4.939999999464817e-05,23,4,0.0003188000000022839,14,4,38,0.00015070000000605432,157,3,0.00010809999997718478,100,3,4.820000000904656e-05,16,3,0.00021190000001070075,16,3,18,0.00014289999998595704,128,2,0.0001347999999836702,113,2,5.260000000362197e-05,16,2,0.00020609999998555395,17,2,14,0.000149499999992031,120,1,0.00015249999998445674,120,1,5.69000000041342e-05,13,1,0.000219199999975217,21,1,12
8,0.0007607000000007247,1792,8,4.240000001232147e-05,28,8,4.8800000001847366e-05,36,8,0.0013509000000055948,0,8,254,0.00043250000001648914,976,5,0.00014040000002069064,299,5,4.680000000689688e-05,30,5,0.0005844000000081451,12,5,94,0.0003572999999903459,727,4,0.00020689999999490283,424,4,5.290000001423323e-05,26,4,0.0003801999999950567,19,4,48,0.00026429999999777465,340,4,0.00015369999999848005,161,4,5.659999999352294e-05,22,4,0.0003011999999955606,18,4,30,0.0002455000000054497,268,2,0.0002466999999910513,246,2,6.20000000139953e-05,18,2,0.0002608000000066113,24,2,16,0.0002441999999973632,247,1,0.00025519999999801257,247,1,6.429999999113534e-05,15,1,0.00027510000001029766,28,1,14
9,0.0017130000000236123,4608,9,5.659999999352294e-05,36,9,5.920000000969594e-05,45,9,0.0027566999999919517,0,9,510,0.000985999999983278,2282,6,0.00027969999999299944,653,6,5.920000000969594e-05,36,6,0.0009457999999824551,34,6,134,0.0007200999999952273,1478,4,0.00047520000001100016,988,4,6.319999999959691e-05,29,4,0.0004887999999994008,25,4,60,0.000499000000019123,716,4,0.0003265999999939595,401,4,6.529999998861058e-05,24,4,0.0004475000000070395,29,4,44,0.00046040000000857617,553,2,0.0004680000000121254,523,2,7.40999999777614e-05,20,2,0.0003533999999945081,32,2,22,0.0004562999999961903,502,1,0.0005040000000064992,502,1,7.899999999949614e-05,17,1,0.00036410000001296794,36,1,16
10,0.004204399999991892,11520,10,8.76000000005206e-05,45,10,6.799999999884676e-05,55,10,0.005389900000011494,0,10,1022,0.0020175999999878513,5136,6,0.0005908999999917341,1530,6,6.609999999795946e-05,43,6,0.0014285000000029413,42,6,218,0.0014355000000136897,3050,5,0.0009463000000096145,2009,5,7.110000001375738e-05,36,5,0.0007081999999911659,26,5,102,0.0010704999999973097,1481,4,0.0007185999999990145,967,4,7.500000000959517e-05,26,4,0.0005331000000126096,39,4,52,0.0008718999999928201,1127,3,0.0008546999999907712,1037,3,8.330000000000837e-05,24,3,0.0004344999999830179,37,3,28,0.0008648000000164302,1013,1,0.0009067999999956555,1013,1,9.339999999724569e-05,19,1,0.00044829999998796666,45,1,18
11,0.009641999999985273,28160,11,0.0001239999999995689,55,11,7.840000000669534e-05,66,11,0.010785400000003165,0,11,2046,0.003884700000014618,9653,6,0.0014271999999948548,3672,6,7.250000001590706e-05,46,6,0.001873700000004419,45,6,298,0.002960599999994429,6430,5,0.0017988000000173088,3986,5,7.840000000669534e-05,42,5,0.0011457999999890944,42,5,162,0.0019393000000036409,3056,4,0.0015717999999935728,2248,4,8.379999999874599e-05,28,4,0.0007257000000038261,52,4,70,0.0017130999999892538,2277,3,0.0017227999999818167,2143,3,9.829999999055872e-05,27,3,0.0005290999999942869,45,3,30,0.0016478999999947064,2036,1,0.0017356999999833533,2036,1,0.00011040000001116823,21,1,0.0005435999999860996,55,1,20
12,0.022095400000011978,67584,12,0.000198799999992616,66,12,8.649999998056046e-05,78,12,0.021317799999991394,0,12,4094,0.00736779999999726,18571,6,0.003463100000004715,8939,6,8.239999999659631e-05,52,6,0.002271700000022747,55,6,370,0.006023999999996477,13476,6,0.003070000000008122,7089,6,8.790000001113185e-05,52,6,0.001759399999997413,54,6,274,0.003749900000002526,6180,5,0.0026092999999889344,3853,5,9.1999999995096e-05,36,5,0.0008921000000157164,54,5,100,0.003315799999995761,4580,3,0.0036033999999744992,4391,3,0.00011649999999008287,29,3,0.0006191999999884956,55,3,32,0.003195000000005166,4083,1,0.0034430000000043037,4083,1,0.00012810000001195476,23,1,0.0006929999999840675,66,1,22
13,0.05128630000001522,159744,13,0.0003386999999861473,78,13,0.00010369999998260937,91,13,0.042745400000001155,0,13,8190,0.014945699999998396,38852,7,0.005752600000022312,14566,7,0.00010430000000383188,61,7,0.0038462999999921976,59,7,658,0.012105700000006436,27132,7,0.006430300000005218,14486,7,0.00010510000001318076,59,7,0.0023112000000082844,66,7,354,0.0077034999999909815,12592,5,0.006009400000010601,8863,5,0.00010580000000004475,38,5,0.0012116999999989275,84,5,120,0.006609600000018645,9197,3,0.006952400000017178,8938,3,0.0001310000000103173,31,3,0.0007990000000006603,68,3,38,0.006299499999983027,8178,1,0.006611300000002984,8178,1,0.0001458000000127413,25,1,0.0008485000000177934,78,1,24
14,0.11450909999999226,372736,14,0.0009469000000024153,91,14,0.00010990000001243061,105,14,0.08493699999999649,0,14,16382,0.031604100000009794,81982,8,0.009081199999997125,23229,8,0.00010509999998475905,75,8,0.007221500000014203,59,8,1318,0.02452189999999632,55168,7,0.015114699999998038,33357,7,0.00011709999998288367,68,7,0.0034477000000094904,69,7,570,0.015316500000011501,25195,5,0.013066799999990053,19609,5,0.00012200000000461841,40,5,0.0014928000000224984,113,5,140,0.01350320000000238,18430,3,0.014255099999985532,18089,3,0.00014479999998684434,34,3,0.000942600000001903,80,3,46,0.012743099999994456,16369,1,0.013756300000011379,16369,1,0.0001765000000091277,27,1,0.0010050999999862142,91,1,26
