nodes,0.0_time_generate,0.0_iter_generate,0.0_num_elementos_generate,0.0_confs_tested_generate,0.0_tries_generate,0.0_time_generate_limit,0.0_iter_generate_limit,0.0_num_elementos_generate_limit,0.0_confs_tested_generate_limit,0.0_tries_generate_limit,0.0_time_generate_2k,0.0_iter_generate_2k,0.0_num_elementos_generate_2k,0.0_confs_tested_generate_2k,0.0_tries_generate_2k,0.0_time_generate_2n,0.0_iter_generate_2n,0.0_num_elementos_generate_2n,0.0_confs_tested_generate_2n,0.0_tries_generate_2n,0.0_time_greedy,0.0_iter_greedy,0.0_num_elementos_greedy,0.0_confs_tested_greedy,0.0_tries_greedy,0.125_time_generate,0.125_iter_generate,0.125_num_elementos_generate,0.125_confs_tested_generate,0.125_tries_generate,0.125_time_generate_limit,0.125_iter_generate_limit,0.125_num_elementos_generate_limit,0.125_confs_tested_generate_limit,0.125_tries_generate_limit,0.125_time_generate_2k,0.125_iter_generate_2k,0.125_num_elementos_generate_2k,0.125_confs_tested_generate_2k,0.125_tries_generate_2k,0.125_time_generate_2n,0.125_iter_generate_2n,0.125_num_elementos_generate_2n,0.125_confs_tested_generate_2n,0.125_tries_generate_2n,0.125_time_greedy,0.125_iter_greedy,0.125_num_elementos_greedy,0.125_confs_tested_greedy,0.125_tries_greedy,0.25_time_generate,0.25_iter_generate,0.25_num_elementos_generate,0.25_confs_tested_generate,0.25_tries_generate,0.25_time_generate_limit,0.25_iter_generate_limit,0.25_num_elementos_generate_limit,0.25_confs_tested_generate_limit,0.25_tries_generate_limit,0.25_time_generate_2k,0.25_iter_generate_2k,0.25_num_elementos_generate_2k,0.25_confs_tested_generate_2k,0.25_tries_generate_2k,0.25_time_generate_2n,0.25_iter_generate_2n,0.25_num_elementos_generate_2n,0.25_confs_tested_generate_2n,0.25_tries_generate_2n,0.25_time_greedy,0.25_iter_greedy,0.25_num_elementos_greedy,0.25_confs_tested_greedy,0.25_tries_greedy,0.5_time_generate,0.5_iter_generate,0.5_num_elementos_generate,0.5_confs_tested_generate,0.5_tries_generate,0.5_time_generate_limit,0.5_iter_generate_limit,0.5_num_elementos_generate_limit,0.5_confs_tested_generate_limit,0.5_tries_generate_limit,0.5_time_generate_2k,0.5_iter_generate_2k,0.5_num_elementos_generate_2k,0.5_confs_tested_generate_2k,0.5_tries_generate_2k,0.5_time_generate_2n,0.5_iter_generate_2n,0.5_num_elementos_generate_2n,0.5_confs_tested_generate_2n,0.5_tries_generate_2n,0.5_time_greedy,0.5_iter_greedy,0.5_num_elementos_greedy,0.5_confs_tested_greedy,0.5_tries_greedy,0.75_time_generate,0.75_iter_generate,0.75_num_elementos_generate,0.75_confs_tested_generate,0.75_tries_generate,0.75_time_generate_limit,0.75_iter_generate_limit,0.75_num_elementos_generate_limit,0.75_confs_tested_generate_limit,0.75_tries_generate_limit,0.75_time_generate_2k,0.75_iter_generate_2k,0.75_num_elementos_generate_2k,0.75_confs_tested_generate_2k,0.75_tries_generate_2k,0.75_time_generate_2n,0.75_iter_generate_2n,0.75_num_elementos_generate_2n,0.75_confs_tested_generate_2n,0.75_tries_generate_2n,0.75_time_greedy,0.75_iter_greedy,0.75_num_elementos_greedy,0.75_confs_tested_greedy,0.75_tries_greedy,1.0_time_generate,1.0_iter_generate,1.0_num_elementos_generate,1.0_confs_tested_generate,1.0_tries_generate,1.0_time_generate_limit,1.0_iter_generate_limit,1.0_num_elementos_generate_limit,1.0_confs_tested_generate_limit,1.0_tries_generate_limit,1.0_time_generate_2k,1.0_iter_generate_2k,1.0_num_elementos_generate_2k,1.0_confs_tested_generate_2k,1.0_tries_generate_2k,1.0_time_generate_2n,1.0_iter_generate_2n,1.0_num_elementos_generate_2n,1.0_confs_tested_generate_2n,1.0_tries_generate_2n,1.0_time_greedy,1.0_iter_greedy,1.0_num_elementos_greedy,1.0_confs_tested_greedy,1.0_tries_greedy
4,5.099999999913507e-05,6,4,1,1,2.119999999194988e-05,6,4,1,4,1.749999999844931e-05,1,2,1,2,2.870000000143591e-05,6,4,1,8,3.0001119000000074,0,4,215832,215832,3.949999999974807e-05,8,2,3,3,3.09999999927868e-05,7,3,3,13,1.8499999995924554e-05,1,2,1,2,2.59000000113474e-05,6,3,2,12,3.0000150000000048,201785,3,201785,201785,4.1899999999372994e-05,7,3,2,2,4.090000000189775e-05,7,3,3,25,2.229999999769916e-05,1,1,2,3,2.829999999676147e-05,6,2,3,12,3.000012099999992,249354,3,187133,187133,4.500000000007276e-05,4,1,4,4,7.229999999935899e-05,7,2,6,53,2.27000000023736e-05,1,2,1,2,3.7800000001197986e-05,4,2,3,22,3.0000316,376766,2,167475,167475,5.240000000128475e-05,4,1,4,4,7.269999998982257e-05,8,2,7,50,2.4400000000923683e-05,1,2,1,2,3.5900000000310683e-05,3,1,4,15,3.0000196999999957,382195,2,152901,152901,5.240000000128475e-05,3,1,4,4,0.00011099999998975818,11,1,12,86,2.9499999996573933e-05,1,1,2,4,3.5499999995636244e-05,3,1,4,13,3.0000208000000015,468453,1,156151,156151
5,5.999999999062311e-05,10,5,1,1,2.729999999928623e-05,10,5,1,11,2.3699999999848842e-05,3,3,1,8,2.4899999999661304e-05,10,5,1,12,3.000025700000009,0,5,180925,180925,5.120000000147229e-05,7,4,2,2,3.630000000498512e-05,14,4,2,16,2.5800000003073364e-05,2,2,2,5,3.940000000568489e-05,8,1,5,21,3.000027099999997,211923,4,158800,158800,8.040000000164582e-05,6,3,4,4,0.00011879999999564461,24,3,8,107,3.119999999512402e-05,4,2,2,6,5.070000000273467e-05,8,2,4,28,3.0000308999999987,324260,3,144164,144164,6.360000000427135e-05,5,2,5,5,0.00018609999999341653,30,2,23,165,3.850000000227283e-05,5,1,4,8,4.549999999881038e-05,4,1,5,22,3.0000225,399228,2,133076,133076,6.879999999398478e-05,7,2,6,6,0.00019100000000094042,26,2,25,165,4.3700000006197115e-05,4,2,3,8,5.240000000128475e-05,4,1,5,28,3.0000260000000054,415968,2,115574,115574,6.890000000225882e-05,6,1,7,8,0.0002743000000009488,26,1,27,273,4.489999999179872e-05,3,1,4,11,5.3600000001097214e-05,4,1,5,21,3.000029600000019,459016,1,114754,114754
6,5.389999998328676e-05,15,6,1,1,3.760000001307162e-05,15,6,1,11,2.8999999983625457e-05,3,3,1,7,3.760000001307162e-05,15,6,1,19,3.0000234000000034,0,6,156293,156293,5.130000002395718e-05,12,4,3,3,0.00012059999997404702,36,4,8,110,2.609999998526291e-05,3,3,1,3,5.0100000009933865e-05,14,2,5,31,3.0000240000000247,271254,4,135627,135627,7.659999999987122e-05,19,3,6,6,0.00020530000000462678,37,4,11,160,3.4599999992224184e-05,5,3,2,7,5.1900000016757986e-05,6,1,6,33,3.0000376999999787,287130,4,127743,127743,9.489999999345855e-05,18,2,10,10,0.00038559999998710737,41,3,23,421,5.300000000829641e-05,8,1,6,16,6.149999998683597e-05,6,1,6,37,3.000024300000007,371303,3,104401,104401,0.00010030000001393091,13,1,12,12,0.0005494000000112464,57,2,55,584,5.7099999992260564e-05,5,1,6,13,6.059999998342391e-05,5,1,6,26,3.0000373000000025,416704,2,89275,89275,0.00010359999998854619,11,1,12,12,0.0008583999999984826,57,1,58,969,5.7199999986323746e-05,5,1,6,14,6.510000000048421e-05,5,1,6,32,3.0000383,443035,1,88607,88607
7,5.400000000577165e-05,21,7,1,1,4.2100000001710214e-05,21,7,1,14,3.140000001167209e-05,6,4,1,7,3.739999999652355e-05,21,7,1,13,3.000014900000025,0,7,138672,138672,0.00015429999999128086,45,3,14,16,0.0010288999999943371,145,4,34,1236,4.6999999995023245e-05,8,3,4,20,8.840000000986947e-05,14,3,5,86,3.000020699999993,359160,4,119720,119720,0.00014109999997913292,39,3,14,15,0.0006731999999942673,142,4,43,764,4.290000001105909e-05,10,4,2,9,5.899999999314787e-05,19,3,5,33,3.0000306999999964,320790,4,106930,106930,0.0001508000000001175,26,3,17,17,0.001207899999997153,116,3,80,1416,5.419999999389802e-05,7,3,3,13,7.589999998458552e-05,8,1,7,44,3.000042800000017,378917,3,81596,81596,0.00017600000001039007,30,1,24,24,0.0017271000000107506,129,2,106,2052,7.720000002109373e-05,12,2,8,33,7.839999997827363e-05,7,1,7,43,3.0000721000000112,400282,2,77821,77821,0.00018049999999902866,23,1,24,25,0.0020432000000027983,120,1,121,2529,0.00010179999998172207,11,1,12,43,9.320000000911932e-05,6,1,7,62,3.000059099999987,413670,1,68945,68945
8,5.840000000034706e-05,28,8,1,1,4.640000000222244e-05,28,8,1,27,2.6600000012422242e-05,10,5,1,5,3.7800000001197986e-05,28,8,1,18,3.0000316,0,8,123236,123236,0.00019269999998527965,85,5,16,17,0.0013814999999794964,194,5,39,1636,4.9600000011196244e-05,14,4,4,18,7.709999999860884e-05,25,4,5,56,3.00003940000002,324420,5,108140,108140,0.00021899999998709063,51,4,21,24,0.0024592000000041025,335,4,109,2830,7.329999999683423e-05,19,3,7,33,8.520000000089567e-05,25,2,7,56,3.000031199999995,367523,4,89979,89979,0.0002712000000144599,59,3,31,33,0.0033110999999905744,279,4,143,3875,0.00010979999998994572,25,2,13,60,0.00010269999998513413,18,2,7,73,3.000036499999993,353227,4,73951,73951,0.0003183000000035463,50,1,43,46,0.005243500000005952,264,2,224,6115,0.00011729999999943175,16,2,14,57,0.00010650000001533044,8,2,7,66,3.0000571999999863,379226,2,60686,60686,0.00031659999999078536,42,1,43,46,0.0057731999999930395,247,1,248,6870,0.00014289999998595704,19,1,20,69,0.00010760000000686887,7,1,8,57,3.000083999999987,383103,1,54729,54729
9,5.729999998038693e-05,36,9,1,1,5.949999999188549e-05,36,9,1,42,3.530000000750988e-05,15,6,1,13,4.450000000133514e-05,36,9,1,24,3.000022300000012,0,9,111840,111840,0.00032749999999737156,148,5,29,31,0.001548099999979513,210,6,48,1849,9.00999999942087e-05,32,4,9,52,9.869999999523316e-05,41,3,7,73,3.0000275999999815,340057,6,92527,92527,0.0004366000000004533,128,4,48,51,0.009430199999997058,806,4,292,11544,0.00010620000000471919,25,4,11,60,9.850000000710679e-05,15,1,9,67,3.000072099999983,369635,4,73927,73927,0.0004780000000152995,107,3,61,64,0.008655799999985447,483,4,262,10564,0.00015419999999721767,33,3,21,97,0.00011480000000574364,13,2,8,80,3.000068099999993,373653,4,63483,63483,0.0005655999999873984,99,2,79,83,0.011916099999979224,605,2,467,14451,0.0002026000000228123,38,2,29,132,0.00012419999998769526,9,1,9,75,3.0000880999999993,366515,2,51545,51545,0.0005772000000092703,79,1,80,87,0.012251499999990756,502,1,503,14743,0.00021330000001285043,30,1,31,135,0.00014820000001236622,8,1,9,96,3.0000987999999893,356072,1,44509,44509
10,7.229999999935899e-05,45,10,1,1,4.759999998782405e-05,45,10,1,18,3.620000001092194e-05,15,6,1,11,4.99000000218075e-05,45,10,1,27,3.0000314999999773,0,10,100710,100710,0.0007032000000037897,328,5,66,69,0.00953709999998864,1187,6,218,11770,8.909999999673346e-05,33,5,5,42,0.00011509999998793319,49,3,8,89,3.0000373000000025,356159,6,83859,83859,0.0009493000000020402,316,4,100,108,0.016341100000005326,1343,5,400,19991,0.0001283999999941443,31,4,11,75,0.00013339999998152052,29,2,9,106,3.0000406999999996,375054,5,67869,67869,0.00109140000000707,267,2,149,158,0.0211338000000012,1221,4,664,25931,0.00020929999999452775,55,3,27,138,0.00013640000000236796,16,1,10,91,3.0000493000000006,359404,4,53003,53003,0.0010794000000089454,208,2,149,162,0.026268299999998135,1250,3,872,33054,0.0002767999999946369,54,2,41,192,0.00014110000000755463,11,3,8,84,3.000062999999983,354288,3,45939,45939,0.0011460000000056425,155,1,156,177,0.035023899999998775,1013,1,1014,43851,0.00032370000002401866,49,1,50,241,0.00016459999997664454,9,1,10,92,3.0001498999999967,336429,1,37381,37381
11,7.91999999876225e-05,55,11,1,1,5.6699999987586125e-05,55,11,1,23,3.929999999741085e-05,21,7,1,11,6.530000001703229e-05,55,11,1,42,3.0000328999999795,0,11,91992,91992,0.0016659000000061042,829,5,165,172,0.03894249999999033,2797,6,563,48907,0.00022470000001817425,127,5,23,164,0.00013590000000363034,53,2,10,102,3.000048899999996,387894,6,73497,73497,0.0019506000000149015,735,5,205,228,0.057731899999993175,3707,5,1035,73373,0.0002446999999961008,84,4,24,174,0.00014579999998431958,20,2,10,111,3.0000718999999947,363174,5,60529,60529,0.002075800000000072,482,4,255,273,0.05956760000000827,3240,4,1687,75201,0.0003322000000025582,82,3,47,274,0.00014020000000414257,15,2,10,94,3.000083499999988,361257,4,47764,47764,0.002226900000010801,392,3,300,325,0.08071110000000203,2606,3,1881,102448,0.00040949999998929343,96,2,64,322,0.00018770000002632514,12,2,10,139,3.0001135999999917,337371,3,38550,38550,0.0023466000000098575,311,1,312,342,0.0797268000000031,2036,1,2037,104788,0.00045409999998469175,76,1,77,366,0.00018289999999865358,10,1,11,108,3.0001133000000095,316210,1,31621,31621
12,8.479999999622123e-05,66,12,1,1,7.410000000618311e-05,66,12,1,25,5.199999998239946e-05,28,8,1,12,8.870000002048073e-05,66,12,1,61,3.0000314999999773,0,12,85400,85400,0.0032396999999946274,1384,6,305,330,0.09833810000000653,8111,6,1729,125522,0.0002740999999844007,97,5,26,227,0.00016209999998295643,67,3,10,134,3.000045599999993,391241,6,63167,63167,0.0031102000000089447,1116,6,290,313,0.09042489999998793,6549,6,1609,115086,0.00039720000000897926,154,4,50,343,0.0001611000000139029,37,3,10,130,3.0000717000000066,365681,6,56887,56887,0.004185400000011441,992,5,471,505,0.13509540000001152,6045,5,2725,171677,0.0005456999999751133,172,3,77,460,0.0001960999999823798,18,2,11,148,3.00006590000001,354781,5,44039,44039,0.004728300000010677,809,2,607,661,0.1626331999999877,5040,3,3800,212225,0.0006582999999977801,137,2,104,558,0.00020630000000210202,16,1,12,133,3.000168500000001,316515,3,32413,32413,0.0047262999999873045,616,1,617,666,0.17549980000001142,4083,1,4084,225881,0.0006902999999738313,118,1,119,591,0.00021780000000148902,11,1,12,128,3.000121199999967,293942,1,26722,26722
13,0.00010350000002290471,78,13,1,1,9.449999998878411e-05,78,13,1,41,5.609999999478532e-05,36,9,1,19,6.8999999996322e-05,78,13,1,38,3.000034900000003,0,13,79272,79272,0.005904100000009294,2556,7,508,536,0.10182069999996202,11975,7,2359,126422,0.0003080999999838241,141,6,27,248,0.00017410000003792447,44,2,12,144,3.0000526999999693,373346,7,57923,57923,0.009059700000022985,3659,5,890,978,0.1295877999999675,12802,6,3200,165266,0.0005386999999927866,218,5,51,440,0.00018390000002455054,47,1,13,144,3.0001077999999666,348257,7,48502,48502,0.009525800000005802,2370,4,1137,1202,0.12342660000001615,10005,5,4852,158947,0.0008918999999991684,297,3,133,844,0.00019900000000916407,24,1,13,147,3.0001091000000315,344052,5,37668,37668,0.00998829999997497,1641,2,1224,1319,0.14913519999998925,7782,3,5923,194081,0.0010509999999612774,241,2,182,995,0.00021200000003318564,16,2,12,128,3.000103899999999,294130,3,27618,27618,0.00999330000001919,1233,1,1234,1337,0.16718600000001516,6172,1,6173,214255,0.0011357999999859203,183,1,184,1027,0.00026609999997617706,12,1,13,166,3.0001442000000225,274140,1,22845,22845
